id,longitude,latitude,price,price_label,room_type,neighbourhood_cleansed,minimum_nights,review_scores_rating
15840224,-79.27675,43.70565,60.0,Cheap,Private room,Clairlea-Birchmount,2,4.85
52855224,-79.44768,43.68134,122.0,Average,Entire home/apt,Corso Italia-Davenport,2,4.78
1015245058320603163,-79.44797625312319,43.66236669480321,55.0,Cheap,Private room,Dovercourt-Wallace Emerson-Junction,28,5.0
6622261,-79.41682,43.67953,159.5,Average,Entire home/apt,Casa Loma,28,
42993377,-79.12801,43.78843,98.0,Cheap,Private room,Rouge,28,
50343021,-79.44371,43.69604,378.0,Expensive,Entire home/apt,Oakwood Village,2,4.95
22353512,-79.47957009104236,43.736890716382256,59.0,Cheap,Private room,Downsview-Roding-CFB,1,4.66
597227126622663488,-79.28846,43.81002,41.0,Cheap,Private room,Agincourt North,1,4.8
797871385263259195,-79.53775360000002,43.6999211,75.0,Cheap,Entire home/apt,Kingsview Village-The Westway,3,5.0
29904829,-79.35421,43.6562,181.0,Average,Entire home/apt,Moss Park,28,
1075394214548007341,-79.28727228194475,43.70452462616184,160.0,Average,Entire home/apt,Clairlea-Birchmount,1,5.0
696363770568945153,-79.35171604701533,43.686457353530926,57.0,Cheap,Private room,Broadview North,1,4.77
626932742700564759,-79.37326,43.669491,131.0,Average,Entire home/apt,North St.James Town,2,4.49
754266332043526833,-79.43126,43.72442,75.0,Cheap,Entire home/apt,Englemount-Lawrence,28,5.0
1223613228573265690,-79.47164,43.67732,115.0,Average,Entire home/apt,Junction Area,28,
1172500029685091636,-79.39747,43.64352,127.0,Average,Entire home/apt,Waterfront Communities-The Island,30,5.0
949316562007648106,-79.31704,43.67044,124.0,Average,Private room,Woodbine Corridor,2,5.0
1126755889984788494,-79.38276649321658,43.641486007644886,200.0,Expensive,Entire home/apt,Waterfront Communities-The Island,28,5.0
1179273331269391286,-79.42455794543127,43.67149657682389,58.0,Cheap,Private room,Dovercourt-Wallace Emerson-Junction,30,
907403624045669025,-79.4466,43.67435,120.0,Average,Entire home/apt,Corso Italia-Davenport,2,4.95
32487303,-79.33819969999999,43.7456592,300.0,Expensive,Entire home/apt,Parkwoods-Donalda,30,
943599919941655499,-79.3884782,43.6525593,343.0,Expensive,Entire home/apt,Kensington-Chinatown,3,5.0
887633450080457686,-79.2995825221792,43.692638993797175,85.0,Cheap,Entire home/apt,Taylor-Massey,4,4.82
33402110,-79.41051,43.7788,150.0,Average,Private room,Willowdale East,28,4.79
1116082779744279387,-79.39708,43.64846,117.0,Average,Private room,Waterfront Communities-The Island,1,4.92
40873970,-79.40496063232422,43.64192199707031,76.0,Cheap,Entire home/apt,Niagara,31,4.74
714076480456574596,-79.3765617,43.6444084,337.0,Expensive,Entire home/apt,Waterfront Communities-The Island,1,4.76
4197272,-79.41344,43.66742,189.0,Expensive,Entire home/apt,Annex,28,5.0
761123917289480138,-79.48737,43.62355,160.0,Average,Entire home/apt,Mimico (includes Humber Bay Shores),28,4.87
1165350154466603246,-79.24022,43.72783,88.0,Cheap,Private room,Cliffcrest,29,
3344276,-79.46811,43.65584,130.0,Average,Entire home/apt,High Park North,28,4.0
863010285886444613,-79.3806142,43.6429622,227.0,Expensive,Entire home/apt,Waterfront Communities-The Island,1,4.89
931119460056014636,-79.41457360882409,43.727788008008005,250.0,Expensive,Entire home/apt,Lawrence Park North,28,
52827338,-79.37467,43.65633,309.0,Expensive,Entire home/apt,Church-Yonge Corridor,28,4.77
876186021133675732,-79.2924823,43.7761344,49.0,Cheap,Private room,Tam O'Shanter-Sullivan,31,5.0
29238782,-79.45868,43.68828,32.0,Cheap,Private room,Caledonia-Fairbank,30,4.71
1040565793834766821,-79.44483829031475,43.67597131981261,45.0,Cheap,Private room,Corso Italia-Davenport,90,
812257606325153280,-79.30653514662492,43.6807099465064,94.0,Cheap,Entire home/apt,East End-Danforth,28,4.81
1142195998816813553,-79.18551889999999,43.7749549,58.0,Cheap,Private room,West Hill,28,
9586124,-79.28311,43.78393,83.5,Cheap,Private room,Agincourt South-Malvern West,28,
53187364,-79.40423,43.63846,220.0,Expensive,Entire home/apt,Niagara,28,
24983537,-79.29945,43.80003,70.0,Cheap,Private room,L'Amoreaux,28,
36392108,-79.41587,43.67188,65.0,Cheap,Entire home/apt,Annex,28,4.62
804641032336046712,-79.399184152448,43.70385594778102,85.0,Cheap,Entire home/apt,Yonge-Eglinton,28,5.0
50776678,-79.56877,43.65133,100.0,Cheap,Private room,Etobicoke West Mall,28,4.77
28870429,-79.53582,43.64039,58.0,Cheap,Private room,Islington-City Centre West,28,4.46
1082526256158389009,-79.44923539266993,43.73226543698822,92.0,Cheap,Entire home/apt,Clanton Park,28,
1149397774675096833,-79.18551889999999,43.7749549,49.0,Cheap,Private room,West Hill,28,5.0
897384161762033973,-79.3774195,43.6719746,160.0,Average,Entire home/apt,North St.James Town,28,4.67
1041263646458285826,-79.40204970712931,43.63827390547631,112.0,Average,Private room,Niagara,28,
339418,-79.3933,43.69954,60.0,Cheap,Private room,Mount Pleasant West,30,4.5
1148556634324119347,-79.40534892738106,43.63552028485327,293.0,Expensive,Entire home/apt,Niagara,1,4.91
39317499,-79.40804,43.66491,440.0,Expensive,Entire home/apt,University,12,5.0
1071072580320622129,-79.40601,43.63607,220.0,Expensive,Entire home/apt,Niagara,28,
34917763,-79.25084,43.76621,66.0,Cheap,Entire home/apt,Bendale,28,5.0
828046281973535680,-79.3654095,43.6551711,115.0,Average,Entire home/apt,Moss Park,28,5.0
45597444,-79.48772,43.6249,160.0,Average,Entire home/apt,Mimico (includes Humber Bay Shores),28,
1099743115020496030,-79.38423,43.77988,83.0,Cheap,Private room,Bayview Village,1,4.87
923390006453031708,-79.50204,43.68942,190.0,Expensive,Entire home/apt,Mount Dennis,28,5.0
1023349654741338620,-79.4871995568556,43.623513711529256,264.0,Expensive,Entire home/apt,Mimico (includes Humber Bay Shores),1,
14122940,-79.4219,43.78029,93.0,Cheap,Entire home/apt,Newtonbrook West,30,4.8
894430017187804633,-79.39797,43.64146,462.0,Expensive,Entire home/apt,Waterfront Communities-The Island,5,4.75
1229708306669222678,-79.5604757,43.7472488,46.0,Cheap,Private room,Humbermede,28,
1142659565710079232,-79.41463736275321,43.79452640160443,272.0,Expensive,Entire home/apt,Newtonbrook East,2,5.0
23321474,-79.31743,43.67967,142.0,Average,Entire home/apt,Woodbine Corridor,28,4.91
1176338179124126427,-79.37731,43.64786,101.0,Cheap,Entire home/apt,Church-Yonge Corridor,28,
30370648,-79.36013,43.65634,710.0,Expensive,Entire home/apt,Moss Park,28,4.83
608699804762798107,-79.30918,43.76188,102.0,Average,Entire home/apt,Wexford/Maryvale,28,4.5
1157486878801092126,-79.3167414,43.684333,283.0,Expensive,Entire home/apt,Woodbine Corridor,2,4.88
36942926,-79.29798,43.70074,60.0,Cheap,Private room,O'Connor-Parkview,28,4.57
11383887,-79.39594,43.77885,169.0,Average,Private room,Willowdale East,28,4.93
963681499337068221,-79.41775001036801,43.758389821921625,60.0,Cheap,Private room,Lansing-Westgate,28,4.67
33074386,-79.45019,43.68931,45.0,Cheap,Private room,Caledonia-Fairbank,28,5.0
